id,common_name,type,cycle,watering,sunlight,hardiness_min,hardiness_max,soil,growth_rate,maintenance,care_level,drought_tolerant,salt_tolerant,tropical,indoor,poisonous_to_humans,poisonous_to_pets
714,elephant's ear,Bulb,Perennial,Average,full sun | part shade,7,11,,Slow,Moderate,Medium,false,false,true,true,true,true
715,giant elephant's ear,Bulb,Perennial,Average,part shade,9,11,,High,Moderate,,true,false,true,true,true,true
716,elephant's ear,Bulb,Perennial,Average,full sun | part shade,9,11,,High,Moderate,High,false,false,true,true,true,true
717,elephant's ear,Bulb,Perennial,Average,full sun | part shade,7,10,,Low,Moderate,,true,false,true,true,true,true
718,elephant's ear,Bulb,Perennial,Average,part sun/part shade,9,11,,High,Moderate,,true,false,true,true,true,true
721,aloe,,Herbaceous Perennial,Minimum,part shade | part sun/part shade,9,11,,Low,Low,Low,true,true,false,true,false,false
727,aloe,Tree,Perennial,Minimum,full sun | part sun/part shade,9,11,,Low,Low,Low,true,true,false,true,false,false
728,aloe,Herb,Herbaceous Perennial,Minimum,full sun,10,12,Well-drained,High,Low,,true,true,false,true,false,false
747,Joseph's coat,Herb,Herbaceous Perennial,Frequent,full sun | part shade,10,11,,High,Low,Medium,false,true,false,true,false,false
748,Joseph's coat,Herb,Herbaceous Perennial,Average,full sun | part shade,10,11,,Low,Low,Medium,true,true,false,true,false,false
855,anthurium,Flower,Herbaceous Perennial,Average,part sun/part shade,11,12,,High,Moderate,Medium,false,false,false,true,false,false
856,anthurium,,Herbaceous Perennial,Frequent,full sun | part shade,10,12,,Low,Moderate,Medium,false,false,false,true,false,false
861,zebra plant,Broadleaf evergreen,Perennial,Average,part shade | full shade,11,12,Well-drained,Low,Moderate,Medium,true,false,false,true,false,false
1001,trailing snapdragon,Creeper,Herbaceous Perennial,Average,full sun | part shade,6,9,,Low,Low,,true,false,false,true,false,false
1023,Sprenger's asparagus fern,Fern,Herbaceous Perennial,Average,part shade,9,11,,Low,Low,Medium,true,false,false,true,false,false
1024,asparagus fern,Fern,Herbaceous Perennial,Average,part shade,9,11,Acidic |  Alkaline,High,Low,Moderate,false,true,false,true,false,false
1025,asparagus fern,Fern,Herbaceous Perennial,Minimum,part shade,9,11,,High,Low,Medium,false,false,false,true,false,false
1031,asparagus fern,Vine,Perennial,Frequent,part shade,9,12,Acidic |  Alkaline,Low,Low,Medium,true,false,false,true,false,false
1036,cast-iron plant,Shrub,Herbaceous Perennial,Average,part shade | full shade,8,10,,Low,Low,Low,true,false,false,true,false,false
1038,bird's nest fern,Fern,Perennial,Average,full sun | part shade | full shade,10,11,,Low,,,false,false,true,true,false,false
1130,Japanese painted fern,Fern,Perennial,Average,deep shade | filtered shade | part sun/part shade,3,8,Humus rich |  Well-drained,High,Low,Medium,false,false,false,true,false,false
1133,Japanese painted fern,Fern,Perennial,Average,deep shade | filtered shade | part sun/part shade,3,8,Humus rich |  Well-drained,High,Low,Medium,false,false,false,true,false,false
1147,spotted laurel,Broadleaf evergreen,Perennial,Frequent,full shade | part shade,6,9,,Low,Low,Moderate,true,false,false,true,false,false
1149,spotted laurel,Broadleaf evergreen,Perennial,Average,part sun/part shade | full sun,6,9,,Low,Low,Medium,true,false,false,true,false,false
1150,spotted laurel,Broadleaf evergreen,Perennial,Average,part shade,6,9,,Low,Low,Moderate,true,false,false,true,false,false
1192,ponytail palm,Broadleaf evergreen,Perennial,Average,part sun/part shade,10,11,Rocky  |  gravelly  |  dry |  Well-drained,Low,Low,Medium,true,false,false,true,false,false
1194,begonia,Begonia,Herbaceous Perennial,Frequent,full sun | part shade,10,11,,Low,Moderate,,false,false,false,true,false,false
1195,begonia,Begonia,Herbaceous Perennial,Average,full sun | part shade,10,11,,High,Low,,false,true,false,true,false,false
